bulk_id,slab_millers,slab_shift,slab_comp,top,slab_identifier,Ametal,Bmetal,Cmetal,surface_energy,Cost,DFT_ads_E,symbol,AandB,reaction_type,activity_pathway,optimal_energy,activity_width,source_file,processed_date,ascicat_version,bimetallic_filtered
mp-581786_H_0_110,110,,,,,Cu,Sn,,0.8879810439484255,15.4369325,-0.20045541,Cu6Sn2,Cu-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-20714_H_1_110,110,,,,,Fe,Sb,,0.6983816804707472,19.54103666666666,-0.1195679,Fe2Sb4,Fe-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-20928_H_1_110,110,,,,,Ru,Sb,,0.922146292386843,6771.164353333331,-0.17453303,Sb4Ru2,Ru-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-20928_H_2_110,110,,,,,Ru,Sb,,1.409456594972618,6771.164353333331,-0.25121898,Sb4Ru2,Ru-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-9835_H_0_110,110,,,,,Co,Sb,,1.2639229535401113,30.74097333333332,-0.31552281,Co2Sb4,Co-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1078755_H_0_110,110,,,,,Pt,Sb,,1.1524973366262523,23037.700382500003,-0.22174146,Sb2Pt6,Pt-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1100766_H_0_110,110,,,,,Ni,Pt,,1.9102285745548917,7688.6037275,-0.38095698,Ni3Pt,Ni-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1100766_H_1_110,110,,,,,Ni,Pt,,1.9565677558079992,7688.6037275,-0.39483707,Ni3Pt,Ni-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1183752_H_1_110,110,,,,,Co,Cu,,2.298903014839156,27.867035,-0.36847611,Co3Cu,Co-Cu,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1184054_H_1_110,110,,,,,Cu,Ni,,1.8874326426512271,14.4008675,-0.34027028,CuNi3,Cu-Ni,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1184336_H_1_110,110,,,,,Fe,Ir,,2.6981078987699503,102480.5275125,-0.33650948,FeIr3,Fe-Ir,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-974358_H_0_110,110,,,,,Ir,Ru,,2.73274798265452,107544.245,-0.36166308,Ir3Ru,Ir-Ru,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-974358_H_1_110,110,,,,,Ir,Ru,,2.733477660510741,107544.245,-0.35795733,Ir3Ru,Ir-Ru,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-11798_H_0_110,110,,,,,Fe,Pt,,2.710263645076628,7676.8700375,-0.29037132,Fe3Pt,Fe-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-11798_H_1_110,110,,,,,Fe,Pt,,2.486728237788535,7676.8700375,-0.34356771,Fe3Pt,Fe-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1221425_H_0_110,110,,,,,Mo,Pt,,1.9276094294271944,23045.870270000003,-0.38459495,MoPt3,Mo-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1007854_H_0_111,111,,,,,Fe,Ni,,2.223405473822476,11.83374,-0.37972524,FeNi3,Fe-Ni,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1007854_H_1_111,111,,,,,Fe,Ni,,2.041815171273916,11.83374,-0.29806201,FeNi3,Fe-Ni,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1007854_H_2_111,111,,,,,Fe,Ni,,2.287886609171274,11.83374,-0.28407781,FeNi3,Fe-Ni,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1007854_H_3_111,111,,,,,Fe,Ni,,2.0633996226095124,11.83374,-0.35319052,FeNi3,Fe-Ni,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1030_H_0_111,111,,,,,Pt,Sb,,1.0038004518986072,26872.44019125,-0.37849367,SbPt7,Pt-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1030_H_1_111,111,,,,,Pt,Sb,,1.0129116781829457,26872.44019125,-0.39838467,SbPt7,Pt-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1183707_H_2_111,111,,,,,Co,Mo,,2.551191822734044,54.880775,-0.31646198,CoMo3,Co-Mo,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1184260_H_0_111,111,,,,,Cu,Fe,,2.1212152458255864,2.6671775,-0.28368135,Fe3Cu,Cu-Fe,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1186214_H_0_111,111,,,,,Cu,Nb,,1.9868429664227216,62.89964,-0.28948856,Nb3Cu,Cu-Nb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1187196_H_1_111,111,,,,,Ir,Ta,,2.8686256180069134,34423.155000000006,-0.11180275,Ta3Ir,Ir-Ta,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1187204_H_0_111,111,,,,,Pt,Ta,,2.498027100812773,7939.7825,-0.34697202,Ta3Pt,Pt-Ta,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1187204_H_1_111,111,,,,,Pt,Ta,,2.674761059596121,7939.7825,-0.28687396,Ta3Pt,Pt-Ta,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-12608_H_0_111,111,,,,,Cu,Pt,,1.2849705460356056,26870.07857,-0.31508381,CuPt7,Cu-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-2002_H_2_111,111,,,,,Cu,Sb,,0.3525314378507502,15.0918025,-0.25022178,Cu3Sb,Cu-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-2083_H_0_111,111,,,,,Ir,Sn,,1.1597298908364242,45567.318033333315,-0.21408715,Sn2Ir,Ir-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-2083_H_1_111,111,,,,,Ir,Sn,,0.5908732212532807,45567.318033333315,-0.23445964,Sn2Ir,Ir-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-998982_H_1_111,111,,,,,Sn,Ti,,1.7119074078746366,12.7843025,-0.34814295,Ti3Sn,Sn-Ti,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-999378_H_2_111,111,,,,,Nb,Ni,,2.1301488868628176,31.9112275,-0.28103197,NbNi3,Nb-Ni,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1521_H_0_111,111,,,,,Mo,Sb,,0.7810018342942635,39.065394999999995,-0.11712251,Sb14Mo6,Mo-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
